the_geom,phase,operator,total_occupants,presumed_accident_location,country,presumed_area,date,nature,departure_airport,intended_destination,asn_id,type,mh370,month_and_day_asn_id,month_and_day,year,cartodb_id,created_at,updated_at
0101000020E61000000B43E4F4F5C429404A6249B9FBE04040,En route,Libyan Government,2,near Tripoli,Libya,sea,"January 16, 1983",Official state flight,Tripoli-Okba Ben Nafi air base in Libya,Houari Boumediene Airport in Algeria,19830116-2,Lockheed L-1329-25 JetStar II,,19830116-2,2016-01-01,1983,67,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000B37BF2B050B85A405CCCCF0D4D013240,En route,United States Air Force,7,"ca 64 km off Dong Hoi, Gulf of Tonkin",Vietnam,sea,"October 18, 1966",Military,Da Nang Airport,"Da Nang Airport, within Vietnam",19661018-0,Grumman HU-16B Albatross,,19661018-0,2018-10-01,1966,68,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000975643E21E9A56C05663096B63383940,En route,United States Coast Guard,6,Gulf of Mexico,Atlantic Ocean,sea,"March 5, 1967",Military,St. Petersburg International Airport in Florida,unknown airport,19670305-3,Grumman HU-16E Albatross,,19670305-3,2005-03-01,1967,69,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000007A6EA12B119840C081AFE8D66BDA4340,En route,United States Navy,22,176 km W off Ilha do Corvo,in the Azores,sea,"February 20, 1958",Military,Argentia naval air station in Canada,Terceira-Lajes Airport in the Azores,19580220-0,Lockheed WV-2 Super Constellation,,19580220-0,2020-02-01,1958,70,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000003A1F9E25C89B53C0E2900DA48B3D2D40,En route,United States Navy,12,Caribbean Sea,Atlantic Ocean,sea,"May 9, 1948",Military,Roosevelt naval air station in Puerto Rico,Key West naval air station in Florida,19480509-1,Consolidated PBY-6A Catalina,,19480509-1,2009-05-01,1948,71,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000084807C09153423C093C83EC8B2A64940,En route,Royal Air Force,9,S off Fastnet Rock,Ireland,sea,"January 11, 1955",Military,St Eval RAF Station,St Eval RAF Station in Cornwall,19550111-0,Avro Shackleton MR.2,,19550111-0,2011-01-01,1955,72,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000C823B891B2BB5740A73FFB9122B23FC0,En route,Malaysia Airlines (MH370),239,somewhere in the Indian Ocean,Indian Ocean,sea,"March 8, 2014",International Scheduled Passenger,Kuala Lumpur International Airport,"Beijing, China",20140308-0,Boeing 777-2H6ER,1,20140308-0,2008-03-01,2014,73,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000D80B056C078456C076DEC66647F23040,En route,Maria de Jesus Morano,2,Petén province,Guatemala,land,"February 13, 2006",Illegal Flight,unknown airport,unknown airport,20060213-0,Grumman G-159 Gulfstream I,0,20060213-0,2013-02-01,2006,74,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000AA7EA5F3E159DDBF9DA1B8E34DE24440,En route,Kurfiss Aviation,2,"between Madrid, Spain, and Perpigan",France,sea,"October 3, 1980",Ferry/positioning,Madrid-Cuatro Vientos Airport in Spain,Perpignan Airport in France,19801003-1,Douglas DC-3,0,19801003-1,2003-10-01,1980,75,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000BC3FDEAB56635C407782FDD7B969EDBF,En route,Bali International Air Service,17,Tumbang Miri,Indonesia,land,"October 25, 1991",Domestic Scheduled Passenger,Palangkaraya Airport,"Sampit Airport, within Indonesia",19911025-0,Britten-Norman BN-2A Trislander Mk.III-2,0,19911025-0,2025-10-01,1991,76,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000005C76887FD8621B4034D593F947DFD53F,Approach,Sahel Air Service,1,14.5 km off São Tomé Island Airport,Sao Tome and Principe,sea,"April 7, 2013",Ferry/positioning,Ondangwa Airport in Namibia,São Tomé Island Airport,20130407-0,Beechcraft 1900C-1,0,20130407-0,2007-04-01,2013,77,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
